Date,Close
02/01/2023,"23,678"
01/31/2023,"22,950"
01/30/2023,"22,732"
01/29/2023,"23,792"
01/28/2023,"23,005"
01/27/2023,"23,097"
01/26/2023,"23,068"
01/25/2023,"23,576"
01/24/2023,"22,900"
01/23/2023,"22,989"
01/22/2023,"22,579"
01/21/2023,"23,199"
01/20/2023,"22,336"
01/19/2023,"20,941"
01/18/2023,"20,775"
01/17/2023,"21,330"
01/16/2023,"21,129"
01/15/2023,"20,898"
01/14/2023,"20,888"
01/13/2023,"19,818"
01/12/2023,"18,822"
01/11/2023,"17,556"
01/10/2023,"17,475"
01/09/2023,"17,190"
01/08/2023,"16,953"
01/07/2023,"16,943"
01/06/2023,"16,929"
01/05/2023,"16,846"
01/04/2023,"16,820"
01/03/2023,"16,667"
01/02/2023,"16,725"
01/01/2023,"16,591"
12/31/2022,"16,549"
12/30/2022,"16,576"
12/29/2022,"16,599"
12/28/2022,"16,517"
12/27/2022,"16,698"
12/26/2022,"16,821"
12/25/2022,"16,823"
12/24/2022,"16,836"
12/23/2022,"16,815"
12/22/2022,"16,791"
12/21/2022,"16,790"
12/20/2022,"16,883"
12/19/2022,"16,583"
12/18/2022,"16,750"
12/17/2022,"16,709"
12/16/2022,"16,835"
12/15/2022,"17,384"
12/14/2022,"17,818"
12/13/2022,"17,764"
12/12/2022,"17,153"
12/11/2022,"17,109"
12/10/2022,"17,129"
12/09/2022,"17,109"
12/08/2022,"17,178"
12/07/2022,"16,833"
12/06/2022,"16,994"
12/05/2022,"16,970"
12/04/2022,"17,113"
12/03/2022,"16,957"
12/02/2022,"17,016"
12/01/2022,"16,931"
11/30/2022,"17,102"
11/29/2022,"16,454"
11/28/2022,"16,193"
11/27/2022,"16,570"
11/26/2022,"16,507"
11/25/2022,"16,503"
11/24/2022,"16,537"
11/23/2022,"16,482"
11/22/2022,"16,137"
11/21/2022,"15,602"
11/20/2022,"16,251"
11/19/2022,"16,665"
11/18/2022,"16,640"
11/17/2022,"16,681"
11/16/2022,"16,538"
11/15/2022,"16,880"
11/14/2022,"16,393"
11/13/2022,"16,380"
11/12/2022,"16,793"
11/11/2022,"16,773"
11/10/2022,"17,807"
11/09/2022,"15,788"
11/08/2022,"18,711"
11/07/2022,"20,667"
11/06/2022,"21,132"
11/05/2022,"21,367"
11/04/2022,"21,147"
11/03/2022,"20,240"
11/02/2022,"20,192"
11/01/2022,"20,481"
10/31/2022,"20,407"
10/30/2022,"20,688"
10/29/2022,"20,865"
10/28/2022,"20,649"
10/27/2022,"20,418"
10/26/2022,"20,754"
10/25/2022,"20,172"
10/24/2022,"19,374"
10/23/2022,"19,498"
10/22/2022,"19,220"
10/21/2022,"19,179"
10/20/2022,"19,022"
10/19/2022,"19,196"
10/18/2022,"19,373"
10/17/2022,"19,527"
10/16/2022,"19,352"
10/15/2022,"19,103"
10/14/2022,"19,187"
10/13/2022,"19,382"
10/12/2022,"19,148"
10/11/2022,"19,026"
10/10/2022,"19,243"
10/09/2022,"19,477"
10/08/2022,"19,461"
10/07/2022,"19,549"
10/06/2022,"20,049"
10/05/2022,"20,022"
10/04/2022,"20,350"
10/03/2022,"19,590"
10/02/2022,"19,231"
10/01/2022,"19,250"
09/30/2022,"19,420"
09/29/2022,"19,483"
09/28/2022,"19,565"
09/27/2022,"19,055"
09/26/2022,"19,135"
09/25/2022,"18,888"
09/24/2022,"19,138"
09/23/2022,"18,852"
09/22/2022,"19,247"
09/21/2022,"18,918"
09/20/2022,"18,970"
09/19/2022,"19,520"
09/18/2022,"19,721"
09/17/2022,"20,081"
09/16/2022,"19,743"
09/15/2022,"19,836"
09/14/2022,"19,948"
09/13/2022,"20,254"
09/12/2022,"22,396"
09/11/2022,"21,643"
09/10/2022,"21,487"
09/09/2022,"21,285"
09/08/2022,"19,371"
09/07/2022,"19,393"
09/06/2022,"18,962"
09/05/2022,"19,743"
09/04/2022,"19,898"
09/03/2022,"19,739"
09/02/2022,"19,965"
09/01/2022,"20,076"
08/31/2022,"20,207"
08/30/2022,"19,975"
08/29/2022,"20,188"
08/28/2022,"19,999"
08/27/2022,"20,000"
08/26/2022,"20,667"
08/25/2022,"21,647"
08/24/2022,"21,697"
08/23/2022,"21,489"
08/22/2022,"21,107"
08/21/2022,"21,520"
08/20/2022,"20,856"
08/19/2022,"21,278"
08/18/2022,"23,417"
08/17/2022,"23,408"
08/16/2022,"23,973"
08/15/2022,"24,070"
08/14/2022,"24,327"
08/13/2022,"24,505"
08/12/2022,"24,244"
08/11/2022,"24,214"
08/10/2022,"23,880"
08/09/2022,"23,147"
08/08/2022,"24,073"
08/07/2022,"23,271"
08/06/2022,"23,167"
08/05/2022,"22,969"
08/04/2022,"22,503"
08/03/2022,"23,324"
08/02/2022,"23,015"
08/01/2022,"23,027"
07/31/2022,"23,804"
07/30/2022,"23,979"
07/29/2022,"23,952"
07/28/2022,"24,012"
07/27/2022,"22,795"
07/26/2022,"20,964"
07/25/2022,"22,166"
07/24/2022,"22,749"
07/23/2022,"22,319"
07/22/2022,"22,603"
07/21/2022,"23,134"
07/20/2022,"23,305"
07/19/2022,"23,308"
07/18/2022,"21,514"
07/17/2022,"20,938"
07/16/2022,"21,165"
07/15/2022,"20,925"
07/14/2022,"20,660"
07/13/2022,"19,663"
07/12/2022,"19,434"
07/11/2022,"20,396"
07/10/2022,"20,960"
07/09/2022,"21,668"
07/08/2022,"21,834"
07/07/2022,"21,608"
07/06/2022,"20,394"
07/05/2022,"20,459"
07/04/2022,"19,532"
07/03/2022,"19,106"
07/02/2022,"19,295"
07/01/2022,"19,414"
06/30/2022,"18,731"
06/29/2022,"20,171"
06/28/2022,"20,253"
06/27/2022,"20,900"
06/26/2022,"21,390"
06/25/2022,"21,222"
06/24/2022,"21,194"
06/23/2022,"20,802"
06/22/2022,"19,898"
06/21/2022,"20,836"
06/20/2022,"20,444"
06/19/2022,"20,501"
06/18/2022,"17,727"
06/17/2022,"20,627"
06/16/2022,"20,683"
06/15/2022,"21,685"
06/14/2022,"21,992"
06/13/2022,"23,251"
06/12/2022,"27,383"
06/11/2022,"28,393"
06/10/2022,"29,194"
06/09/2022,"30,139"
06/08/2022,"30,202"
06/07/2022,"31,341"
06/06/2022,"31,432"
06/05/2022,"29,945"
06/04/2022,"29,726"
06/03/2022,"29,652"
06/02/2022,"30,242"
06/01/2022,"29,645"
05/31/2022,"31,757"
05/30/2022,"31,271"
05/29/2022,"29,162"
05/28/2022,"28,996"
05/27/2022,"28,739"
05/26/2022,"29,447"
05/25/2022,"29,762"
05/24/2022,"29,429"
05/23/2022,"29,289"
05/22/2022,"29,910"
05/21/2022,"29,380"
05/20/2022,"29,121"
05/19/2022,"30,214"
05/18/2022,"29,205"
05/17/2022,"30,081"
05/16/2022,"29,880"
05/15/2022,"30,991"
05/14/2022,"29,370"
05/13/2022,"29,800"
05/12/2022,"28,572"
05/11/2022,"28,315"
05/10/2022,"30,960"
05/09/2022,"31,076"
05/08/2022,"34,604"
05/07/2022,"35,775"
05/06/2022,"36,074"
05/05/2022,"36,432"
05/04/2022,"39,780"
05/03/2022,"37,633"
05/02/2022,"38,321"
05/01/2022,"38,196"
04/30/2022,"38,332"
04/29/2022,"38,559"
04/28/2022,"39,928"
04/27/2022,"39,095"
04/26/2022,"38,128"
04/25/2022,"40,140"
04/24/2022,"39,539"
04/23/2022,"39,794"
04/22/2022,"39,597"
04/21/2022,"40,647"
04/20/2022,"41,435"
04/19/2022,"41,300"
04/18/2022,"40,665"
04/17/2022,"40,295"
04/16/2022,"40,356"
04/15/2022,"40,409"
04/14/2022,"39,896"
04/13/2022,"41,245"
04/12/2022,"39,536"
04/11/2022,"39,850"
04/10/2022,"43,154"
04/09/2022,"42,459"
04/08/2022,"42,750"
04/07/2022,"43,573"
04/06/2022,"43,898"
04/05/2022,"45,707"
04/04/2022,"46,304"
04/03/2022,"46,391"
04/02/2022,"46,208"
04/01/2022,"46,175"
03/31/2022,"45,760"
03/30/2022,"47,232"
03/29/2022,"47,406"
03/28/2022,"47,944"
03/27/2022,"46,073"
03/26/2022,"44,608"
03/25/2022,"44,564"
03/24/2022,"43,914"
03/23/2022,"42,350"
03/22/2022,"42,611"
03/21/2022,"41,186"
03/20/2022,"41,308"
03/19/2022,"42,256"
03/18/2022,"41,849"
03/17/2022,"40,717"
03/16/2022,"41,252"
03/15/2022,"39,416"
03/14/2022,"38,737"
03/13/2022,"38,677"
03/12/2022,"39,103"
03/11/2022,"38,869"
03/10/2022,"39,302"
03/09/2022,"41,910"
03/08/2022,"38,545"
03/07/2022,"37,873"
03/06/2022,"38,994"
03/05/2022,"39,396"
03/04/2022,"39,410"
03/03/2022,"42,127"
03/02/2022,"43,950"
03/01/2022,"43,870"
02/28/2022,"41,650"
02/27/2022,"37,461"
02/26/2022,"39,479"
02/25/2022,"39,009"
02/24/2022,"38,396"
02/23/2022,"37,571"
02/22/2022,"37,913"
02/21/2022,"37,193"
02/20/2022,"38,249"
02/19/2022,"39,936"
02/18/2022,"39,996"
02/17/2022,"40,708"
02/16/2022,"44,091"
02/15/2022,"44,007"
02/14/2022,"42,257"
02/13/2022,"42,259"
02/12/2022,"41,910"
02/11/2022,"42,561"
02/10/2022,"43,753"
02/09/2022,"44,502"
02/08/2022,"44,264"
02/07/2022,"44,050"
02/06/2022,"41,693"
02/05/2022,"41,718"
02/04/2022,"40,647"
02/03/2022,"36,964"
02/02/2022,"36,877"
02/01/2022,"38,741"
